t	x	y	v
0.0	-0.001207625784813704	0.4598650435260363
0.033333333333333486	0.0011790090600549696	0.4562850912587332	0.1842893223327018
0.06666666666666675	0.00953223101709555	0.4538984564138644	0.23881260257982562
0.10000000000000023	0.01669213555170168	0.45270513899143006	0.32388212792295146
0.1333333333333335	0.03000672288403572	0.4470416515486927	0.46852020355326673
0.16666666666666674	0.04488617552079899	0.4392626184048227	0.5247616869572802
0.2	0.062182314488061774	0.4333077726424247	0.6454922477951623
0.23333333333333348	0.08443345634033439	0.4222968918540073	0.7642574653633886
0.266666666666667	0.10978022691040912	0.4151310857060154	0.8304134769155729
0.3000000000000002	0.13675167003954036	0.40419624010503385	0.9200442741705397
0.3333333333333335	0.16732467813920104	0.39389960003979496	1.0166042752919568
0.366666666666667	0.20165633602902777	0.3846860459126714	1.0490584795118256
0.40000000000000047	0.23554700543304286	0.3785070539904375	1.0458113678304644
0.43333333333333346	0.2703868530445661	0.3729770704364356	1.0996618804274727
0.4666666666666665	0.30812204306877766	0.3681467383573449	1.1309205800119722
0.5000000000000004	0.3455811039632477	0.36748287156863757	1.1774800705190769
0.5333333333333334	0.386620536506354	0.36797960199859037	1.112668868078169
0.566666666666667	0.41906849307601246	0.37758079859526417	1.011504276620668
0.6	0.4513671274304081	0.38682560581400227	0.9882022762647835
0.6333333333333335	0.4818488628157749	0.39755126604276236	0.8986658730760213
0.666666666666667	0.5078895959956691	0.406688773802523	0.8016550352205534
0.7	0.5317478327622054	0.41669071629710364	0.7044134970492152
0.733333333333334	0.5512432228417146	0.42473840398232565	0.6294170293153548
0.7666666666666669	0.5722133260846956	0.42779390164183095	0.5920772027327055
0.8	0.5906778157426298	0.4264521556978741	0.5520992699744949
0.8333333333333335	0.6086394929331527	0.4330723007553048	0.5478199138557288
0.8666666666666669	0.6263401273774558	0.43432660157200076	0.5008722037338036
0.9000000000000005	0.6420092011712317	0.4318666783768147	0.5182202898533863
0.9333333333333335	0.6606714820681936	0.4304634779291744	0.5281215312420957
0.9666666666666666	0.6768318615655675	0.4266712211944237	0.5336314756003048
1.0000000000000004	0.6951772732459347	0.421805434483032	0.6179006831708622
1.0333333333333334	0.7174849665835368	0.4200214455749647	0.6553229262475297
1.0666666666666669	0.73748996589843	0.4109291101903093	0.7220314830291226
1.1	0.763065234106252	0.4045469812603132	0.8331043962424242
1.1333333333333335	0.7911551427116026	0.3966192201370151	0.8378780854652705
1.166666666666667	0.8181101174045746	0.39504765468661085	0.8113148950468614
1.2	0.8451770922937958	0.3992845328567646	0.8259683041375028
1.2333333333333338	0.8729508612950028	0.40000727903945177	0.7893913546661758
1.266666666666667	0.8975250792440308	0.4046876471150279	0.7317318542454928
1.3	0.9211080671278224	0.4077905374122559	0.7416192662654375
1.3333333333333335	0.9467836331495072	0.40893446616141504	0.7718547261878718
1.366666666666667	0.9725393909216256	0.4061657595164899	0.725837382449368
1.4000000000000004	0.9951633051852726	0.40797632943700124	0.6885265168259032
1.4333333333333336	1.0183607066558678	0.4034492708854619	0.7468681023659371
1.4666666666666666	1.0444368867214568	0.4008154328711552	0.8026167360749407
1.5000000000000004	1.0708481811661494	0.39304985756388755	0.8519666230466347
1.5333333333333334	1.0984944533228078	0.38338652804904305	0.9154224552423541
1.5666666666666669	1.1279996917077075	0.3716456148696078	1.0311330568356851
1.6000000000000005	1.1598902262438204	0.35246647550694366	1.0848237390289002
1.6333333333333335	1.1955900745424195	0.34591719753965133	1.1231104516471793
1.666666666666667	1.23285406694086	0.33566176379796164	1.1941444416694156
1.7	1.2729426067096021	0.32709490045252865	1.2052321976921976
1.735	1.3143664920831535	0.3238936767358036	1.2412479494766824
1.7683333333333335	1.35678760094549	0.3142803179890441
