t	x	y	v	t_{1}	x_{1}	y_{1}	v_{1}
0.0	-0.0054977576343377965	0.4583703514705526		0.0	-0.003584422758467043	0.4588061130837847
0.033333333333333375	-0.003123367908437258	0.45599596174465207	0.16894079070184592	0.03333333333333326	0.001194807586155755	0.4564164979114733	0.21655372489678107
0.06666666666666686	0.005186996132214738	0.4548087668817018	0.32691000948475807	0.06666666666666675	0.009558460689245596	0.4528320751530063	0.2496261596475223
0.10000000000000012	0.015871749898767384	0.4453112079780994	0.41241308595948944	0.10000000000000023	0.016727306206179682	0.4504424599806949	0.34473874199254706
0.13333333333333336	0.02876715561640475	0.44066990457038013	0.47528386369469905	0.1333333333333335	0.02987018965389232	0.44207880687760504	0.4969954357758094
0.16666666666666663	0.045562689087010555	0.434246633805328	0.6342993560118707	0.16666666666666674	0.04659749586007189	0.4361047689468266	0.5790812187836666
0.20166666666666686	0.06792722438390075	0.4220910701777232	0.7159468298087076	0.2	0.06571441723856297	0.42774111584373686	0.673451894238191
0.23500000000000013	0.08876323653151441	0.4112863225129497	0.7417133419093871	0.23333333333333348	0.08722095378936545	0.4169878475683356	0.738947682001377
0.26833333333333337	0.11443875238496848	0.405306000324797	0.8433804293039927	0.2666666666666667	0.11111710551247922	0.4086241944652458	0.8501205010274641
0.30166666666666664	0.1427156960274344	0.3954615494923224	0.9508393839075686	0.3000000000000002	0.14098729516637143	0.3990657337760003	0.913324704994741
0.33500000000000013	0.1740886000077434	0.3838561040111219	1.0276694973873504	0.33333333333333326	0.169662677234108	0.3918968882590661	0.9408683014304459
0.3683333333333336	0.20834284572049133	0.37579240037526573	1.0668675371605634	0.36666666666666675	0.20072767447415585	0.3799488123975092	1.0390189936289822
0.40166666666666684	0.2434373371664066	0.36806219673166174	1.1114931933792787	0.4	0.2365719020588265	0.3739747744667308	1.1108819511638353
0.4350000000000001	0.2814223177061955	0.36353950173519534	1.1186277483972242	0.43333333333333346	0.273610937229653	0.3668059289497966	1.0985247041304085
0.4683333333333334	0.3175353154600721	0.359639158915363	1.1113145344470654	0.46666666666666695	0.30945516481432367	0.3668059289497966	1.0901692155715188
0.5016666666666668	0.35540378876082246	0.3595746948284162	1.177178475437961	0.5	0.34624421027715824	0.3642580417891268	1.1471552906785811
0.5350000000000001	0.39577410604286045	0.36576915216042993	1.1295809752049397	0.5333333333333334	0.38592285032828777	0.36561112136364093	1.1179825582912633
0.5683333333333336	0.4296762485920417	0.3720046880230917	1.0230472991137296	0.5666666666666668	0.41987538152298154	0.37581204837873006	1.0197968501032668
0.6016666666666667	0.46171193122867915	0.3832011149390466	0.9306466847372606	0.6000000000000002	0.4512482746607366	0.384445855946591	0.9884339428954978
0.6350000000000001	0.4886988970329157	0.3911273122378306	0.8443184460738488	0.6333333333333335	0.4823641483463216	0.39672576680787475	0.9350281149687489
0.6683333333333333	0.515203715059306	0.40072128458174294	0.8189609918111371	0.6666666666666667	0.5091846990394887	0.407446917765382	0.786371754262826
0.7016666666666669	0.5406289639978313	0.4079838887635462	0.7219811743000554	0.7	0.5316031989256723	0.4147222618940878	0.7062883973747265
0.7350000000000003	0.5605980907664047	0.4167227724612167	0.667421794698474	0.7333333333333335	0.5542570321221926	0.4210691835460094	0.653485879538817
0.7683333333333334	0.5821636995260561	0.42394170044499424	0.5985145188360995	0.7666666666666669	0.5736083907470911	0.42627805183620615	0.6194944817532592
0.8016666666666669	0.6000717010779851	0.4225469745623124	0.526440333905484	0.8000000000000003	0.5950141779055335	0.42774111584373686	0.6082366762029091
0.8350000000000001	0.6172338344239453	0.4225939553860437	0.5487440296997005	0.8333333333333335	0.6141310992840247	0.42774111584373686	0.5085306996579353
0.8683333333333336	0.6366285495142995	0.4239282741469118	0.548055127708513	0.8666666666666669	0.6284588297154149	0.4332912538562923	0.48420580914307826
0.9016666666666668	0.6536686632169763	0.41986334337270304	0.5449118064314946	0.9000000000000005	0.6460287969298321	0.43269694953731896	0.5296922278579399
0.9350000000000002	0.6726808170549569	0.41946532646467927	0.6220081780730717	0.9333333333333335	0.6637373521041593	0.4317353699443848	0.5143827928088849
0.9683333333333334	0.6945674846012978	0.413021116412686	0.6433047706955055	0.9666666666666666	0.6798867909258498	0.427257255054424	0.5533406210329874
1.001666666666667	0.714333034723761	0.4092483689407127	0.6804168017114313	1.0000000000000004	0.6995027433185327	0.42269862497391064	0.653707830544199
1.0350000000000004	0.7386134175893847	0.40217736220971845	0.7820667443394804	1.0333333333333334	0.722045822374937	0.4162174195380055	0.7320465576528169
1.0683333333333336	0.7643747458953524	0.3946136310003744	0.8518860706717475	1.0666666666666669	0.746657995824331	0.4101238444241002	0.8191593840737716
1.101666666666667	0.794671579994158	0.3930746340082867	0.8854163712958143	1.1	0.7730405082427313	0.3966761186036889	0.8473773648804777
1.1350000000000005	0.82297776603587	0.38754523265879737	0.8157822778998165	1.1333333333333335	0.8005210827243122	0.39309169584522186	0.7930252401259982
1.168333333333334	0.8488674390135985	0.3885370283777906	0.8439085847390586	1.166666666666667	0.825875180351242	0.3947893792720035	0.809590196632613
1.2016666666666669	0.8791105911185887	0.39133442063904944	0.8239858004832241	1.2	0.8544217354445317	0.39587913167116295	0.871547763515089
1.235	0.90317984734476	0.3967668163279513	0.7661300830674952	1.2333333333333338	0.8833816350483449	0.4030952619065963	0.7903979706719169
1.268333333333334	0.9298409091594756	0.39726106153208374	0.7735243955000691	1.266666666666667	0.9064668394345851	0.40411808007812045	0.7138256768738167
